datetime,open,high,low,close
2026-01-02 00:00:00,1.06697,1.06697,1.0637,1.06592
2026-01-02 01:00:00,1.06636,1.06772,1.06636,1.06707
2026-01-02 02:00:00,1.06708,1.06736,1.06692,1.0671
2026-01-02 03:00:00,1.06706,1.06706,1.06656,1.06702
2026-01-02 04:00:00,1.06703,1.06711,1.06662,1.06692
2026-01-02 05:00:00,1.06693,1.06724,1.06687,1.06709
2026-01-02 06:00:00,1.06709,1.06765,1.06702,1.06742
2026-01-02 07:00:00,1.06742,1.0678,1.06725,1.06746
2026-01-02 08:00:00,1.06751,1.06788,1.06728,1.06769
2026-01-02 09:00:00,1.06769,1.06866,1.06748,1.06827
2026-01-02 10:00:00,1.0683,1.06836,1.06725,1.06747
2026-01-02 11:00:00,1.06746,1.0679400000000001,1.06647,1.0678
2026-01-02 12:00:00,1.0678,1.06824,1.06656,1.06697
2026-01-02 13:00:00,1.06697,1.06725,1.06561,1.06593
2026-01-02 14:00:00,1.06593,1.0665,1.06555,1.06635
2026-01-02 15:00:00,1.06635,1.06755,1.06587,1.06729
2026-01-02 16:00:00,1.06729,1.06736,1.0661100000000001,1.06652
2026-01-02 17:00:00,1.06651,1.06715,1.06623,1.06679
2026-01-02 18:00:00,1.06679,1.06736,1.06637,1.06718
2026-01-02 19:00:00,1.06718,1.06719,1.06602,1.06609
2026-01-02 20:00:00,1.06609,1.06635,1.06576,1.0659399999999999
2026-01-02 21:00:00,1.0659399999999999,1.06617,1.06552,1.0656
2026-01-02 22:00:00,1.06562,1.06633,1.06543,1.06627
2026-01-02 23:00:00,1.06627,1.06688,1.06622,1.06649
2026-01-05 00:00:00,1.06382,1.06628,1.0634,1.06588
2026-01-05 01:00:00,1.06572,1.0667,1.06572,1.0659399999999999
2026-01-05 02:00:00,1.06593,1.06618,1.06518,1.06586
2026-01-05 03:00:00,1.06586,1.06592,1.06496,1.06542
2026-01-05 04:00:00,1.06543,1.06588,1.0652,1.06587
2026-01-05 05:00:00,1.06586,1.0666,1.06564,1.0664
2026-01-05 06:00:00,1.06642,1.06659,1.06608,1.06621
2026-01-05 07:00:00,1.06622,1.06662,1.06591,1.06634
2026-01-05 08:00:00,1.06634,1.06681,1.06617,1.0665
2026-01-05 09:00:00,1.0665,1.06676,1.06584,1.0659
2026-01-05 10:00:00,1.06586,1.0675,1.06586,1.06736
2026-01-05 11:00:00,1.06736,1.07063,1.06724,1.07051
2026-01-05 12:00:00,1.07051,1.07113,1.06946,1.06964
2026-01-05 13:00:00,1.06964,1.07078,1.06933,1.06955
2026-01-05 14:00:00,1.06955,1.07084,1.06902,1.06959
2026-01-05 15:00:00,1.06959,1.07074,1.06911,1.0701100000000001
2026-01-05 16:00:00,1.07009,1.07142,1.06983,1.07104
2026-01-05 17:00:00,1.07122,1.07146,1.07027,1.07139
2026-01-05 18:00:00,1.07139,1.07188,1.07107,1.07174
2026-01-05 19:00:00,1.07174,1.07307,1.07156,1.07258
2026-01-05 20:00:00,1.07257,1.07289,1.0718,1.07183
2026-01-05 21:00:00,1.07184,1.0721,1.07156,1.0719400000000001
2026-01-05 22:00:00,1.0719400000000001,1.0722,1.07171,1.07187
2026-01-05 23:00:00,1.07182,1.07222,1.07154,1.07175
2026-01-06 00:00:00,1.07122,1.07186,1.07098,1.07167
